Id,SalePrice
1461,113725.4537953444
1462,156209.99701394822
1463,163158.2986753499
1464,195184.39261101803
1465,184425.6592432021
1466,169758.35358032337
1467,186481.10222639065
1468,166398.56258167626
1469,190069.56591320806
1470,116599.74121657318
1471,189964.75543605257
1472,106902.29357079836
1473,98454.82402724533
1474,150016.52463809642
1475,119608.76681202094
1476,341308.796876036
1477,235910.16062411648
1478,290596.2121435223
1479,277626.9708822924
1480,457181.1837136018
1481,300669.55874529073
1482,203020.05762732594
1483,172815.5087380211
1484,167290.8457997811
1485,199919.90495322563
1486,200787.07017453713
1487,304269.65799460944
1488,231231.12719624263
1489,182183.10687492436
1490,224485.28428155291
1491,199394.2698913755
1492,90505.20630925141
1493,203025.06750231935
1494,292274.790306593
1495,270211.36385919165
1496,223671.78022939397
1497,170635.76271343874
1498,167324.84165739585
1499,165128.13682784385
1500,160616.6372037339
1501,166923.78909118357
1502,156775.37000717898
1503,288123.90960999206
1504,245250.5050733586
1505,223487.70863741753
1506,196487.0816334778
1507,236157.66556344117
1508,193757.38990470016
1509,154677.99210660817
1510,134226.39037500662
1511,146347.86281878533
1512,171945.2716499748
1513,152376.42742892093
1514,141059.4563279664
1515,183454.679079603
1516,149914.83340049838
1517,161244.20523558065
1518,131853.3768965529
1519,202659.7317190079
1520,125397.25285262639
1521,118884.06441217521
1522,178820.29395972673
1523,102577.44749582165
1524,121266.78223561421
1525,107729.42526407479
1526,99522.79179255663
1527,100840.47363809327
1528,149422.92879516768
1529,137689.56701906057
1530,199164.43588549533
1531,119469.51650408462
1532,105971.96595906866
1533,161388.7515948074
1534,132475.90595147666
1535,147441.44009226435
1536,114669.12924452889
1537,57934.028529177616
1538,137671.11892501815
1539,196034.79145462572
1540,86026.46631775911
1541,135169.0929630635
1542,131934.44519059302
1543,167257.7042456426
1544,91545.27181506743
1545,109021.32148468909
1546,141856.080187498
1547,133410.8033870037
1548,127940.00277490346
1549,115770.07570896359
1550,127516.5803406668
1551,124722.08688996674
1552,126966.7909611211
1553,133221.83568304102
1554,120985.39671695985
1555,151680.55629122537
1556,85808.73316162224
1557,86571.04563574072
1558,107449.81973856772
1559,72672.8203606322
1560,132973.4561100691
1561,115906.53743123547
1562,140162.96643666894
1563,117321.9482745523
1564,155308.44105843318
1565,135863.45809660185
1566,228416.77106835914
1567,79025.18125710062
1568,232914.59154566488
1569,122908.01284355254
1570,150287.05923494615
1571,116005.10325498976
1572,141871.47397073472
1573,224533.7935634521
1574,110336.41428450601
1575,215947.3237080044
1576,252608.36024403071
1577,179172.85915909373
1578,139473.2693495465
1579,128022.05683300404
1580,196352.1751739006
1581,159785.41257855782
1582,128277.44980729022
1583,292465.70834139397
1584,219377.7608470463
1585,145217.89070631747
1586,70684.35520641864
1587,101622.37865384044
1588,144309.88257155215
1589,91637.4580600185
1590,139597.04714074318
1591,89594.93809954709
1592,120739.95168027384
1593,136310.29421641544
1594,129401.18117304612
1595,100337.9587660268
1596,199905.96942605302
1597,159042.0645029265
1598,198344.22793941986
1599,177040.20788266324
1600,174967.70755465302
1601,67039.34189218078
1602,118024.89749684324
1603,77111.93208637308
1604,251687.57174981094
1605,247545.72904652607
1606,168242.4877607897
1607,181625.22283646895
1608,228256.32984242533
1609,183764.91016662956
1610,149795.15202191856
1611,132003.19021931244
1612,169534.46883172382
1613,167719.37493368817
1614,139359.44835218225
1615,99007.3786182614
1616,82226.98449017199
1617,96359.39178025824
1618,121955.97598785735
1619,147900.56637565512
1620,149764.76679628872
1621,128354.42597441313
1622,154691.3518641846
1623,266694.12654842075
1624,204051.2950421514
1625,114862.64062659159
1626,173456.01393110858
1627,184438.6035846322
1628,282344.71954516915
1629,171215.2614907609
1630,305955.3308657315
1631,216216.15176396215
1632,215476.0330552027
1633,178650.00835191322
1634,183789.83061779392
1635,186119.34260448584
1636,160381.01348712458
1637,189497.05338124247
1638,192294.95044220693
1639,179353.0450374715
1640,261221.50741525917
1641,176566.3878114437
1642,240342.01796659987
1643,227278.03500037777
1644,233887.72423308695
1645,243915.31494245754
1646,166689.43923105855
1647,163617.18236011718
1648,132124.3273871673
1649,149049.93805687985
1650,108623.51864914065
1651,119959.18147234549
1652,110784.78966017331
1653,112396.7922801971
1654,143285.5965629953
1655,149221.97179409998
1656,141192.4472212375
1657,145774.83065645327
1658,145270.12438701803
1659,123453.29870511942
1660,147460.3492337413
1661,441868.9261475085
1662,353146.637146613
1663,348661.01183544274
1664,478314.59131262184
1665,291208.39796442556
1666,302789.37845695246
1667,351035.9113523018
1668,332697.4714252385
1669,299246.325782002
1670,328551.39980355476
1671,251635.3558736259
1672,403937.9224967318
1673,290796.86657396436
1674,240823.9754697723
1675,184563.87257522234
1676,187831.42919762898
1677,200348.52527173466
1678,408709.0857225051
1679,347986.82504646835
1680,293213.500487416
1681,230633.27880050903
1682,285863.28419615916
1683,177447.26210654445
1684,192775.62484130237
1685,186333.54522921066
1686,176524.79040556197
1687,183658.1629201195
1688,198636.02158229327
1689,204567.92836035372
1690,215227.88040727036
1691,203712.68746738712
1692,276100.146684743
1693,181448.65926837685
1694,184560.55582653888
1695,168206.80156189325
1696,276951.6209419011
1697,175785.01342823793
1698,327141.511919755
1699,350664.3092806614
1700,237297.81851223664
1701,263284.6832205695
1702,244436.28500852062
1703,254049.7763730562
1704,275329.1738249318
1705,249878.3692674899
1706,366171.9425027956
1707,207164.91043656706
1708,200552.37925941587
1709,276102.4671189123
1710,220655.91499706596
1711,277308.6970763145
1712,258559.8170357442
1713,265160.65182602167
1714,218478.11239300476
1715,207325.75063265715
1716,180660.89402306848
1717,186016.9543217537
1718,134646.55280638128
1719,203778.78255703606
1720,261903.57932493655
1721,173744.65068994806
1722,127679.08287189878
1723,160825.9796684524
1724,205986.14234987425
1725,233474.7568524029
1726,188214.89726236562
1727,146322.9213200224
1728,196466.21852166686
1729,161506.6152133309
1730,168066.40141498085
1731,130879.293014455
1732,131714.59481763464
1733,111365.2070826884
1734,120567.94313348547
1735,146995.61065849825
1736,118591.38660624014
1737,314668.48864501546
1738,232125.6425240272
1739,259678.34028046037
1740,209961.47860301306
1741,186569.75589320424
1742,161463.45528871912
1743,178894.49839559602
1744,304690.1127226538
1745,199552.5918311961
1746,188009.43532082383
1747,216882.28919199886
